series,author,gender,author_pos,release_year,location_pos,location_name
Band 1231,Thomas Ziegler,male,a1,1985.0,l1,Milchstraße
Band 1232,Kurt Mahr,male,a1,1985.0,l1,Milchstraße
Band 1233,Kurt Mahr,male,a1,1985.0,l1,Milchstraße
Band 1234,Ernst Vlcek,male,a1,1985.0,l1,Milchstraße
Band 1234,Ernst Vlcek,male,a1,1985.0,l2,Terra
Band 1235,Clark Darlton,male,a1,1985.0,l1,Milchstraße
Band 1235,Clark Darlton,male,a1,1985.0,l2,Terra
Band 1236,H. G. Ewers,male,a1,1985.0,l1,Kyberland
Band 1237,H. G. Ewers,male,a1,1985.0,l1,Kyberland
Band 1238,Arndt Ellmer,male,a1,1985.0,l1,Kyberland
Band 1239,Arndt Ellmer,male,a1,1985.0,l1,Neutrum
Band 1239,Arndt Ellmer,male,a1,1985.0,l2,Kyberland
Band 124,William Voltz,male,a1,1964.0,l1,Arkon III
Band 1240,Peter Griese,male,a1,1985.0,l1,Kyberland
Band 1241,Ernst Vlcek,male,a1,1985.0,l1,Solsystem
Band 1242,Peter Griese,male,a1,1985.0,l1,Milchstraße
Band 1243,Peter Griese,male,a1,1985.0,l1,Solsystem
Band 1243,Peter Griese,male,a1,1985.0,l2,Haluta-System
Band 1243,Peter Griese,male,a1,1985.0,l3,Aptut-System
Band 1244,Kurt Mahr,male,a1,1985.0,l1,Solsystem
Band 1244,Kurt Mahr,male,a1,1985.0,l2,BASIS
Band 1245,Kurt Mahr,male,a1,1985.0,l1,Solsystem
Band 1246,Thomas Ziegler,male,a1,1985.0,l1,Solsystem
Band 1247,H. G. Francis,male,a1,1985.0,l1,Tiefenland
Band 1248,H. G. Ewers,male,a1,1985.0,l1,Tiefenland
Band 1249,H. G. Ewers,male,a1,1985.0,l1,Tiefenland
Band 125,K. H. Scheer,male,a1,1964.0,l1,Terra
Band 125,K. H. Scheer,male,a1,1964.0,l2,Sphinx
Band 125,K. H. Scheer,male,a1,1964.0,l3,Arkon III
Band 125,K. H. Scheer,male,a1,1964.0,l4,SOTALA
Band 125,K. H. Scheer,male,a1,1964.0,l5,IRONDUKE
Band 1250,Thomas Ziegler,male,a1,1985.0,l1,Tiefenland
Band 1251,Ernst Vlcek,male,a1,1985.0,l1,Solsystem
Band 1252,Ernst Vlcek,male,a1,1985.0,l1,Solsystem
Band 1253,Kurt Mahr,male,a1,1985.0,l1,Solsystem
Band 1254,Kurt Mahr,male,a1,1985.0,l1,Cloreon
Band 1255,Arndt Ellmer,male,a1,1985.0,l1,Cloreon
Band 1256,Peter Griese,male,a1,1985.0,l1,Virgo-Tor-System
Band 1257,H. G. Francis,male,a1,1985.0,l1,Cloreon
Band 1258,H. G. Ewers,male,a1,1985.0,l1,Milchstraße
Band 1259,H. G. Ewers,male,a1,1985.0,l1,Yurgill
Band 1259,H. G. Ewers,male,a1,1985.0,l2,Fornax
Band 126,Clark Darlton,male,a1,1964.0,l1,ALDERAMIN
Band 126,Clark Darlton,male,a1,1964.0,l2,CÄSAR und ein arkonidischer Robotraumer
Band 1260,Marianne Sydow,female,a1,1985.0,l1,EDEN II
Band 1261,Ernst Vlcek,male,a1,1985.0,l1,Milchstraße
Band 1262,Ernst Vlcek,male,a1,1985.0,l1,Terra
Band 1262,Ernst Vlcek,male,a1,1985.0,l2,Milchstraße
Band 1263,Peter Griese,male,a1,1985.0,l1,Erendyra
Band 1264,Arndt Ellmer,male,a1,1985.0,l1,Ckaton-Imperium
Band 1265,H. G. Francis,male,a1,1985.0,l1,Maghala
Band 1266,Kurt Mahr,male,a1,1985.0,l1,Cepor-System
Band 1267,Kurt Mahr,male,a1,1985.0,l1,Cepor-System
Band 1268,Peter Griese,male,a1,1985.0,l1,Nagath
Band 1269,Detlev G. Winter,male,a1,1985.0,l1,Solsystem
Band 1269,Detlev G. Winter,male,a1,1985.0,l2,SOL
Band 127,Kurt Mahr,male,a1,1964.0,l1,BOB-XXI
Band 127,Kurt Mahr,male,a1,1964.0,l2,JOANN
Band 1270,Arndt Ellmer,male,a1,1985.0,l1,Tiefenland
Band 1271,Kurt Mahr,male,a1,1986.0,l1,Tiefe
Band 1272,Kurt Mahr,male,a1,1986.0,l1,BASIS
Band 1272,Kurt Mahr,male,a1,1986.0,l2,Taknu
Band 1273,H. G. Ewers,male,a1,1986.0,l1,Terra
Band 1274,H. G. Francis,male,a1,1986.0,l1,Hanse-Kontor Fornax
Band 1275,Peter Griese,male,a1,1986.0,l1,Siom Som
Band 1276,Arndt Ellmer,male,a1,1986.0,l1,Siom Som
Band 1277,H. G. Ewers,male,a1,1986.0,l1,Gruelfin
Band 1277,H. G. Ewers,male,a1,1986.0,l2,Siom Som
Band 1278,Kurt Mahr,male,a1,1986.0,l1,Mardakaan
